date,day,total,temp,공휴일,cloud,month,NightOpen,rain,closed,culture,year,공휴일(주말포함),"공휴일(주말포함, 겹치면 가중치)"
9월 4일,수,15641 ,20.8,0,1.6,9,0,0,0,0,2013,0,0
9월 5일,목,13326 ,19.5,0,8.3,9,0,0,0,0,2013,0,0
9월 6일,금,11767 ,19.4,0,9.5,9,0,0,0,0,2013,0,0
9월 7일,토,18386 ,20.7,0,5.8,9,0,0,0,0,2013,1,1
9월 8일,일,15191 ,21.6,0,4.1,9,0,0,0,0,2013,1,1
9월 9일,월,12692 ,21.8,0,7.4,9,0,0,0,0,2013,0,0
9월 10일,화,0 ,20.6,0,9.3,9,0,11.5,10,0,2013,0,0
9월 11일,수,13367 ,18.6,0,9.8,9,0,36.5,0,0,2013,0,0
9월 12일,목,17065 ,21.8,0,10,9,0,0.5,0,0,2013,0,0
9월 13일,금,10488 ,21.6,0,9.3,9,0,50,0,0,2013,0,0
9월 14일,토,15994 ,21.8,0,9.1,9,0,11.5,0,0,2013,1,1
9월 15일,일,14395 ,22.8,0,3,9,0,0,0,0,2013,1,1
9월 16일,월,10898 ,20.8,0,0.3,9,0,0,0,0,2013,0,0
9월 17일,화,0 ,21.8,0,0.6,9,0,0,10,0,2013,0,0
9월 18일,수,17804 ,23.5,1,1,9,0,0,0,0,2013,1,1
9월 19일,목,52221 ,23,4,0.1,9,0,0,0,0,2013,4,4
9월 20일,금,26968 ,22.7,1,5.4,9,0,0,0,0,2013,1,1
9월 21일,토,21165 ,22.9,0,7.4,9,0,0,0,0,2013,1,1
9월 22일,일,15878 ,21.2,0,6.8,9,0,0,0,0,2013,1,1
9월 23일,월,11563 ,22,0,6.3,9,0,0,0,0,2013,0,0
9월 24일,화,0 ,20.4,0,9.8,9,0,4.5,10,0,2013,0,0
9월 25일,수,24725 ,17.7,0,4.9,9,0,0,0,0,2013,0,0
9월 26일,목,24676 ,16.6,0,0.1,9,0,0,0,0,2013,0,0
9월 27일,금,23750 ,17.1,0,3.8,9,0,0,0,0,2013,0,0
9월 28일,토,23501 ,15.7,0,9.5,9,0,4,0,0,2013,1,1
9월 29일,일,13486 ,15.4,0,9.6,9,0,19,0,0,2013,1,1
9월 30일,월,16147 ,18.9,0,5.9,9,0,1,0,0,2013,0,0
10월 1일,화,0 ,19.8,0,5.6,10,0,0,10,0,2013,0,0
10월 2일,수,17665 ,17.9,0,3.9,10,0,0,0,0,2013,0,0
10월 3일,목,28319 ,15.3,1,0.4,10,0,0,0,0,2013,1,1
10월 4일,금,23232 ,16.9,0,0,10,0,0,0,0,2013,0,0
10월 5일,토,22025 ,19.1,0,2,10,0,0,0,0,2013,1,1
10월 6일,일,20246 ,19.3,0,6.6,10,0,0,0,0,2013,1,1
10월 7일,월,10760 ,21.1,0,9.4,10,0,0,0,0,2013,0,0
10월 8일,화,0 ,18.6,0,10,10,0,3,10,0,2013,0,0
10월 9일,수,21923 ,19.5,0.0000001,2.5,10,0,0,0,0,2013,0.0000001,0.0000001
10월 10일,목,11558 ,19.9,0,3.9,10,0,0,0,0,2013,0,0
10월 11일,금,14732 ,16.4,0,4.3,10,0,6.5,0,0,2013,0,0
10월 12일,토,19723 ,15.5,0,0.1,10,0,0,0,0,2013,1,1
10월 13일,일,21059 ,16.2,0,0,10,0,0,0,0,2013,1,1
10월 14일,월,11763 ,17.3,0,0.5,10,0,0,0,0,2013,0,0
10월 15일,화,0 ,10.9,0,6.5,10,0,3.5,10,0,2013,0,0
10월 16일,수,20248 ,10.5,0,0.1,10,1,0,0,0,2013,0,0
10월 17일,목,18354 ,11.9,0,2,10,1,0,0,0,2013,0,0
10월 18일,금,18465 ,12.6,0,1,10,1,0,0,0,2013,0,0
10월 19일,토,24754 ,13.6,0,5.4,10,1,0,0,0,2013,1,1
10월 20일,일,19601 ,15.3,0,4.9,10,1,0,0,0,2013,1,1
10월 21일,월,14281 ,14.5,0,2.6,10,1,0,0,0,2013,0,0
10월 22일,화,0 ,14.2,0,0.5,10,0,0,10,0,2013,0,0
10월 23일,수,20356 ,14.8,0,1.3,10,1,0,0,0,2013,0,0
10월 24일,목,18245 ,12.2,0,1.6,10,1,0,0,0,2013,0,0
10월 25일,금,18719 ,8.2,0,0,10,1,0,0,0,2013,0,0
10월 26일,토,22435 ,9.5,0,0,10,1,0,0,0,2013,1,1
10월 27일,일,20064 ,11.3,0,0.1,10,1,0,0,0,2013,1,1
10월 28일,월,12749 ,11.8,0,3,10,1,0,0,0,2013,0,0
10월 29일,화,0 ,11.7,0,6.5,10,0,0.5,10,0,2013,0,0
10월 30일,수,15226 ,9.4,0,1.5,10,0,0,0,0,2013,0,0
10월 31일,목,14312 ,11,0,2.3,10,0,0,0,0,2013,0,0
11월 1일,금,14226 ,13.8,0,5.4,11,0,0,0,0,2013,0,0
11월 2일,토,11254 ,11,0,7.3,11,0,7.5,0,0,2013,1,1
11월 3일,일,17597 ,10.4,0,5.9,11,0,0,0,0,2013,1,1
11월 4일,월,12107 ,11.6,0,1.4,11,0,0,0,0,2013,0,0
11월 5일,화,0 ,12,0,1.1,11,0,0,10,0,2013,0,0
11월 6일,수,9963 ,11.2,0,9.1,11,0,1,0,0,2013,0,0
